,Probe,Cluster
292,L322_S5,0
293,L323_S5,0
294,L324_S5,1
295,L325_S5,2
296,L326_S5,4
297,L327_S5,1
298,L328_S5,0
299,L329_S5,0
300,L330_S5,0
301,L331_S5,4
302,L332_S5,4
303,L333_S5,4
304,L334_S5,4
305,L335_S5,4
306,L336_S5,4
307,L337_S5,1
308,L338_S5,1
309,L339_S5,1
310,L340_S5,1
311,L341_S5,4
312,L342_S5,2
313,L343_S5,4
314,L344_S5,4
315,L345_S5,2
316,L346_S5,2
317,L347_S5,2
318,L348_S5,4
319,L349_S5,4
320,L350_S5,2
321,L351_S5,2
322,L352_S5,3
323,L353_S5,1
324,L354_S5,1
325,L355_S5,2
326,L356_S5,4
327,L357_S5,4
328,L358_S5,0
329,L359_S5,0
330,L360_S5,0
331,L361_S5,1
332,L362_S5,1
333,L363_S5,0
334,L364_S5,1
335,L365_S5,0
336,L366_S5,0
337,L367_S5,1
338,L368_S5,2
339,L369_S5,1
340,L370_S5,0
341,L371_S5,2
342,L372_S5,1
343,L373_S5,0
344,L374_S5,0
345,L375_S5,0
346,L376_S5,3
347,L377_S5,3
348,L378_S5,3
349,L379_S5,3
350,L380_S5,3
351,L381_S5,3
352,L382_S5,3
353,L383_S5,3
354,L384_S5,3
355,L385_S5,3
356,L386_S5,3
357,L387_S5,3
