,Probe,Cluster
194,L197_S5,1
195,L198_S5,1
196,L199_S5,1
197,L200_S5,1
198,L201_S5,1
199,L202_S5,1
200,L203_S5,1
201,L204_S5,1
202,L205_S5,1
203,L206_S5,1
204,L207_S5,1
205,L208_S5,1
206,L209_S5,1
207,L210_S5,1
208,L211_S5,1
209,L212_S5,1
210,L213_S5,1
211,L214_S5,1
212,L215_S5,1
213,L216_S5,1
214,L217_S5,1
215,L218_S5,1
216,L219_S5,1
217,L220_S5,1
218,L221_S5,1
219,L222_S5,1
220,L223_S5,1
221,L224_S5,1
222,L225_S5,1
223,L226_S5,1
224,L227_S5,1
225,L228_S5,1
226,L229_S5,1
227,L230_S5,1
228,L231_S5,1
229,L232_S5,1
230,L233_S5,1
231,L234_S5,1
232,L235_S5,1
233,L236_S5,1
234,L237_S5,1
235,L238_S5,1
236,L239_S5,1
237,L240_S5,1
238,L241_S5,1
239,L242_S5,1
240,L243_S5,1
241,L244_S5,1
242,L245_S5,1
243,L246_S5,1
244,L247_S5,1
245,L248_S5,1
246,L249_S5,1
247,L250_S5,1
248,L251_S5,1
249,L252_S5,1
250,L259_S5,1
251,L260_S5,1
252,L261_S5,1
253,L262_S5,1
254,L263_S5,1
255,L264_S5,1
256,L265_S5,1
257,L266_S5,1
258,L267_S5,1
259,L268_S5,1
260,L269_S5,1
261,L270_S5,1
262,L271_S5,1
263,L272_S5,1
264,L273_S5,1
265,L274_S5,1
266,L275_S5,1
267,L276_S5,1
268,L277_S5,1
269,L278_S5,1
270,L279_S5,1
271,L280_S5,1
272,L281_S5,1
273,L282_S5,1
274,L283_S5,1
275,L284_S5,1
276,L285_S5,1
277,L286_S5,1
278,L287_S5,1
279,L288_S5,1
280,L289_S5,1
281,L290_S5,1
282,L291_S5,1
283,L292_S5,1
284,L293_S5,1
285,L294_S5,1
286,L295_S5,1
287,L296_S5,1
288,L297_S5,1
289,L298_S5,1
290,L299_S5,1
291,L300_S5,1
292,L322_S5,5
293,L323_S5,5
294,L324_S5,4
295,L325_S5,3
296,L326_S5,2
297,L327_S5,4
298,L328_S5,5
299,L329_S5,5
300,L330_S5,5
301,L331_S5,2
302,L332_S5,2
303,L333_S5,2
304,L334_S5,2
305,L335_S5,2
306,L336_S5,2
307,L337_S5,4
308,L338_S5,4
309,L339_S5,4
310,L340_S5,4
311,L341_S5,2
312,L342_S5,3
313,L343_S5,2
314,L344_S5,2
315,L345_S5,3
316,L346_S5,3
317,L347_S5,3
318,L348_S5,2
319,L349_S5,2
320,L350_S5,3
321,L351_S5,3
322,L352_S5,1
323,L353_S5,4
324,L354_S5,4
325,L355_S5,3
326,L356_S5,2
327,L357_S5,2
328,L358_S5,5
329,L359_S5,5
330,L360_S5,5
331,L361_S5,4
332,L362_S5,4
333,L363_S5,5
334,L364_S5,4
335,L365_S5,5
336,L366_S5,5
337,L367_S5,4
338,L368_S5,3
339,L369_S5,4
340,L370_S5,5
341,L371_S5,3
342,L372_S5,4
343,L373_S5,5
344,L374_S5,5
345,L375_S5,5
346,L376_S5,1
347,L377_S5,1
348,L378_S5,1
349,L379_S5,1
350,L380_S5,1
351,L381_S5,1
352,L382_S5,1
353,L383_S5,1
354,L384_S5,1
355,L385_S5,1
356,L386_S5,1
357,L387_S5,1
