,Probe,Cluster
181,L184_S5,2
182,L185_S5,2
183,L186_S5,2
184,L187_S5,2
185,L188_S5,2
186,L189_S5,2
187,L190_S5,2
188,L191_S5,2
189,L192_S5,2
190,L193_S5,2
191,L194_S5,2
192,L195_S5,2
193,L196_S5,2
194,L197_S5,2
195,L198_S5,2
196,L199_S5,2
197,L200_S5,2
198,L201_S5,2
199,L202_S5,2
200,L203_S5,2
201,L204_S5,2
202,L205_S5,2
203,L206_S5,2
204,L207_S5,2
205,L208_S5,2
206,L209_S5,2
207,L210_S5,2
208,L211_S5,2
209,L212_S5,2
210,L213_S5,2
211,L214_S5,2
212,L215_S5,2
213,L216_S5,2
214,L217_S5,2
215,L218_S5,2
216,L219_S5,2
217,L220_S5,2
218,L221_S5,2
219,L222_S5,2
220,L223_S5,2
221,L224_S5,2
222,L225_S5,2
223,L226_S5,2
224,L227_S5,2
225,L228_S5,2
226,L229_S5,2
227,L230_S5,2
228,L231_S5,2
229,L232_S5,2
230,L233_S5,2
231,L234_S5,2
232,L235_S5,2
233,L236_S5,2
234,L237_S5,2
235,L238_S5,2
236,L239_S5,2
237,L240_S5,2
238,L241_S5,2
239,L242_S5,2
240,L243_S5,2
241,L244_S5,2
242,L245_S5,2
243,L246_S5,2
244,L247_S5,2
245,L248_S5,2
246,L249_S5,2
247,L250_S5,2
248,L251_S5,2
249,L252_S5,2
250,L259_S5,2
251,L260_S5,2
252,L261_S5,2
253,L262_S5,2
254,L263_S5,2
255,L264_S5,2
256,L265_S5,2
257,L266_S5,2
258,L267_S5,2
259,L268_S5,2
260,L269_S5,2
261,L270_S5,2
262,L271_S5,2
263,L272_S5,2
264,L273_S5,2
265,L274_S5,2
266,L275_S5,2
267,L276_S5,2
268,L277_S5,2
269,L278_S5,2
270,L279_S5,2
271,L280_S5,2
272,L281_S5,2
273,L282_S5,2
274,L283_S5,2
275,L284_S5,2
276,L285_S5,2
277,L286_S5,2
278,L287_S5,4
279,L288_S5,2
280,L289_S5,2
281,L290_S5,2
282,L291_S5,2
283,L292_S5,2
284,L293_S5,2
285,L294_S5,2
286,L295_S5,2
287,L296_S5,2
288,L297_S5,2
289,L298_S5,2
290,L299_S5,2
291,L300_S5,2
292,L322_S5,1
293,L323_S5,1
294,L324_S5,1
295,L325_S5,0
296,L326_S5,0
297,L327_S5,1
298,L328_S5,1
299,L329_S5,3
300,L330_S5,1
301,L331_S5,0
302,L332_S5,0
303,L333_S5,0
304,L334_S5,0
305,L335_S5,0
306,L336_S5,0
307,L337_S5,1
308,L338_S5,1
309,L339_S5,1
310,L340_S5,1
311,L341_S5,0
312,L342_S5,0
313,L343_S5,0
314,L344_S5,0
315,L345_S5,0
316,L346_S5,0
317,L347_S5,0
318,L348_S5,0
319,L349_S5,0
320,L350_S5,0
321,L351_S5,0
322,L352_S5,2
323,L353_S5,1
324,L354_S5,1
325,L355_S5,0
326,L356_S5,0
327,L357_S5,0
328,L358_S5,1
329,L359_S5,1
330,L360_S5,1
331,L361_S5,0
332,L362_S5,0
333,L363_S5,1
334,L364_S5,1
335,L365_S5,1
336,L366_S5,1
337,L367_S5,0
338,L368_S5,0
339,L369_S5,1
340,L370_S5,1
341,L371_S5,0
342,L372_S5,1
343,L373_S5,1
344,L374_S5,3
345,L375_S5,1
346,L376_S5,2
347,L377_S5,2
348,L378_S5,2
349,L379_S5,2
350,L380_S5,2
351,L381_S5,2
352,L382_S5,2
353,L383_S5,2
354,L384_S5,2
355,L385_S5,2
356,L386_S5,2
357,L387_S5,2
